Pris,Boligtype,Eieform bolig,Soverom,Primærrom,Bruksareal,Etasje,Byggeår,Energimerking,URL,ID,Dager siden annonse,Nybygg,Land,Fylke,Postnummer,Kommune,Latitude,Longitude,Omkostninger,Totalpris,Kommunale avg.,Formuesverdi,Tomteareal,Aircondition,Alarm,Balkong/Terrasse,Takterasse,Barnevennlig,Bredbåndstilknytning,Fellesvaskeri,Garasje/P-plass,Heis,Ingen gjenboerer,Kabel-TV,Lademulighet,Livsløpsstandard,Moderne,Offentlig vann/kloakk,Parkett,Peis/Ildsted,Rolig,Sentralt,Utsikt,Vaktmester-/vektertjeneste,Bademulighet,Fiskemulighet,Turterreng
5175000,Enebolig,Eier (Selveier),4,138,145,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=229137094&location=0.22042&page=13&sort=PUBLISHED_DESC,229137094,"98 days, 0:00:00",1, Norge,Agder,4848, Arendal,58.4822889,8.7243491,68842,5243842,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25000000,Enebolig,Eier (Selveier),6,460,641,,1913,F - gul,https://www.finn.no/realestate/homes/ad.html?finnkode=156661285,156661285,"135 days, 0:00:00",0, Norge,Agder,4841, Arendal,58.4606162,8.7690754,640642,25640642,36382,1231055,1623,1,1,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,1,0,1,0,0
4390000,Leilighet,Eier (Selveier),2,82,87,4.,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=229086559&location=0.22042&page=13&sort=PUBLISHED_DESC,229086559,"74 days, 0:00:00",1, Norge,Agder,4628, Kristiansand,58.1461831,7.9181042,28470,4418470,,,,0,0,1,0,1,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1
2500000,Enebolig,Eier (Selveier),4,192,243,,1890,,https://www.finn.no/realestate/homes/ad.html?finnkode=190205219,190205219,"2 days, 0:00:00",0, Norge,Agder,4790, Lillesand,58.2524281,8.373988,63872,2563872,13046,853869,782,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1
1790000,Leilighet,Eier (Selveier),2,66,68,,2010,D - rød,https://www.finn.no/realestate/homes/ad.html?finnkode=228923556,228923556,0:00:00,0, Norge,Agder,4820, Froland,58.508348,8.6298477,56292,1846292,1276,,3335,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0
2290000,Andre,Eier (Selveier),2,60,65,,2021,,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=228844351&location=0.22042&page=13&sort=PUBLISHED_DESC,228844351,0:00:00,1, Norge,Agder,4706, Vennesla,58.262392,7.947397,16170,2306170,,,,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
1890000,Tomannsbolig,Eier (Selveier),2,84,88,1,2012,,https://www.finn.no/realestate/homes/ad.html?finnkode=158111228,158111228,"11 days, 0:00:00",0, Norge,Agder,4760, Birkenes,58.316116,8.239919,50920,1940920,18032,518803,498,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1
1995000,Leilighet,Eier (Selveier),3,83,88,1,2013,D - oransje,https://www.finn.no/realestate/homes/ad.html?finnkode=228134987,228134987,"60 days, 0:00:00",0, Norge,Agder,4580, Lyngdal,58.1462248,7.090871,51212,2046212,9844,515249,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3990000,Leilighet,Eier (Selveier),2,928,928,1,,,https://www.finn.no/realestate/homes/ad.html?finnkode=228129877,228129877,"2 days, 0:00:00",0,,Agder,,,,,24370,4014370,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7290000,Leilighet,Eier (Selveier),2,100,100,3,,,https://www.finn.no/realestate/homes/ad.html?finnkode=228129215,228129215,"2 days, 0:00:00",0,,Agder,,,,,25370,7315370,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6990000,Leilighet,Eier (Selveier),,104,104,4,1971,,https://www.finn.no/realestate/homes/ad.html?finnkode=227883820,227883820,"142 days, 0:00:00",0, Norge,Agder,4610, Kristiansand,58.1429886,7.9967484,183192,7181916,8302,716475,1071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
